clustername,Storage Capacity %,Connections % Total,CPU Avg %,Table %,dateentered
inv_sr,51.27,32,5.1,32.88,3/11/2019
inv_sr,51.38,32,5.1,32.9,3/12/2019
inv_sr,52.11,32,5.1,32.95,3/13/2019
inv_sr,54.45,32,5.1,68.17,3/14/2019
inv_sr,51.33,32,30.3,34.17,3/15/2019
inv_sr,51.33,32,7.3,34.17,3/17/2019
inv_sr,51.45,32,7.3,34.17,3/18/2019
inv_sr,54.87,32,5.1,37.46,3/20/2019
inv_sr,54.87,32,5.1,37.46,3/21/2019
inv_sr,54.87,32,5,37.46,3/22/2019
inv_sr,44.86,32,19.7,35.17,3/24/2019
inv_sr,44.86,32,15.7,35.15,3/25/2019
inv_sr,42.3,32,5.1,36.46,3/26/2019
inv_sr,48.25,32,7.3,36.61,3/27/2019
inv_sr,46.18,32,5.1,35.67,3/28/2019
inv_sr,45.54,32,7.3,35.84,3/29/2019
inv_sr,25.15,32,7.3,25.98,3/30/2019
inv_sr,44.01,32,2.03,0,3/31/2019
inv_sr,44.07,5,7.3,26.92,4/10/2019
inv_sr,44.17,3.6,7.3,27.08,4/11/2019
inv_sr,44.17,2,7.3,27.2,4/12/2019
inv_sr,44.17,3,7.3,27.2,4/14/2019
inv_sr,44.17,3,30.3,27.2,4/15/2019
inv_sr,42.3,9.1,5.1,27.2,4/16/2019
inv_sr,44.19,3.6,7.3,27.23,4/17/2019
inv_sr,44.19,3.6,7.3,27.23,4/18/2019
inv_sr,44.19,2,7.3,27.24,4/19/2019
inv_sr,44.19,1.8,7.3,27.22,4/20/2019
inv_sr,44.19,3.4,7.3,27.22,4/21/2019
inv_sr,44.02,3.8,7.3,26.01,4/2/2019
inv_sr,44.19,3.6,5,27.22,4/22/2019
inv_sr,44.19,32,33,27.22,4/23/2019
inv_sr,44.23,3.2,19.7,27.23,4/24/2019
inv_sr,44.21,4,15.7,27.22,4/25/2019
inv_sr,42.3,9.1,7.3,27.4,4/26/2019
inv_sr,44.45,4.2,7.3,27.46,4/27/2019
inv_sr,44.45,2.2,7.3,27.46,4/28/2019
inv_sr,44.57,3.2,7.3,27.47,4/29/2019
inv_sr,44.94,32,7.3,27.49,4/30/2019
inv_sr,43.52,32,7.3,26.2,4/3/2019
inv_sr,43.69,4.8,30.3,26.54,4/5/2019
inv_sr,43.71,4,7.3,26.58,4/7/2019
inv_sr,43.97,4.6,7.3,26.75,4/8/2019
inv_sr,44.02,4.8,7.3,26.87,4/9/2019
inv_sr,41.06,4.4,30.3,26.49,5/10/2019
inv_sr,42.34,4.6,30.3,26.55,5/11/2019
inv_sr,44.97,3.2,30.3,27.51,5/1/2019
inv_sr,42.34,4.6,30.3,26.55,5/12/2019
inv_sr,42.43,32,30.3,26.59,5/13/2019
inv_sr,43.21,4.6,30.3,26.63,5/14/2019
inv_sr,43.13,4.8,30.3,26.69,5/15/2019
inv_sr,42.3,9.1,30.3,26.72,5/16/2019
inv_sr,45.52,4.6,30.3,26.8,5/17/2019
inv_sr,46.27,4.4,30.3,26.85,5/18/2019
inv_sr,46.27,1.2,30.3,26.85,5/19/2019
inv_sr,46.34,2.6,30.3,26.97,5/20/2019
inv_sr,46.4,3,30.3,27.04,5/21/2019
inv_sr,44.97,3.4,30.3,27.51,5/2/2019
inv_sr,46.61,3,5,27.29,5/22/2019
inv_sr,46.71,32,33,27.48,5/23/2019
inv_sr,46.76,2.4,19.7,27.61,5/24/2019
inv_sr,46.8,2.4,15.7,22.5,5/25/2019
inv_sr,42.3,9.1,30.3,22.5,5/26/2019
inv_sr,46.8,1,30.3,22.5,5/27/2019
inv_sr,46.8,1.2,30.3,22.5,5/28/2019
inv_sr,47.43,1,30.3,22.1,5/29/2019
inv_sr,47.43,32,30.3,22.1,5/30/2019
inv_sr,47.43,32,30.3,22.1,5/31/2019
inv_sr,44.97,32,30.3,27.51,5/3/2019
inv_sr,44.97,3,30.3,27.52,5/4/2019
inv_sr,44.97,3.4,30.3,27.52,5/5/2019
inv_sr,42.3,9.1,30.3,27.49,5/6/2019
inv_sr,44.93,4.8,30.3,27.51,5/7/2019
inv_sr,44.89,4.4,30.3,27.56,5/8/2019
inv_sr,40.07,4.6,30.3,26.42,5/9/2019
inv_sr,42.3,9.1,5.1,27.94,6/10/2019
inv_sr,42.3,9.1,5.1,28.02,6/11/2019
inv_sr,42.3,9.1,7.3,22.1,6/1/2019
inv_sr,42.3,9.1,7.3,22.1,6/2/2019
inv_sr,42.3,32,7.3,27.65,6/3/2019
inv_sr,42.3,9.1,7.3,22.1,6/4/2019
inv_sr,42.3,9.1,30.3,27.71,6/5/2019
inv_sr,42.3,9.1,7.3,27.76,6/6/2019
inv_sr,42.3,9.1,7.3,27.92,6/7/2019
inv_sr,42.3,9.1,7.3,27.93,6/8/2019
inv_sr,42.3,9.1,7.3,27.93,6/9/2019
